"NUM";"TITLE";"genre"
367;"War Thunder - Type 16 (FPS) (한국어판)";"액션"
368;"War Thunder - Type 16 (FPS) Bundle (영어, 일본어)";"시뮬레이션"
369;"War Thunder - Type 16 (FPS) Bundle (영어, 일본어)";"액션"
370;"War Thunder - Type 96A Prototype (한국어판)";"시뮬레이션"
371;"War Thunder - Type 96A Prototype (한국어판)";"액션"
372;"War Thunder - US Starter Bundle (영어, 일본어)";"시뮬레이션"
373;"War Thunder - US Starter Bundle (영어, 일본어)";"액션"
374;"War Thunder - US Starter Pack (영어판)";"액션"
375;"War Thunder - USS Des Moines (한국어판)";"시뮬레이션"
376;"War Thunder - USS Des Moines (한국어판)";"액션"
377;"War Thunder - USS CA-134 Des Moines 1948 Bundle (영어, 일본어)";"시뮬레이션"
378;"War Thunder - USS CA-134 Des Moines 1948 Bundle (영어, 일본어)";"액션"
379;"War Thunder - USSR Starter Pack (영어판)";"액션"
380;"War Thunder - VRCC Centauro (한국어판)";"시뮬레이션"
381;"War Thunder - VRCC Centauro (한국어판)";"액션"
382;"War Thunder - Super Sherman M51 (한국어판)";"시뮬레이션"
383;"War Thunder - Super Sherman M51 (한국어판)";"액션"
384;"War Thunder - XM-1 General Motors (한국어판)";"액션"
385;"War Thunder - XM-1 General Motors (한국어판)";"액션"
386;"War Thunder - Т-55АМ-1 (한국어판)";"액션"
387;"War Thunder - Т-55АМ-1 (한국어판)";"액션"
388;"파이터 팩 1 (영어판)";"격투"
389;"파이터 팩 2 (영어판)";"격투"
390;"파이터 팩 3 (영어판)";"격투"
391;"무한 트랜스폼 (영어판)";"격투"
392;"무법자 부족 네메시스 확장팩 (한국어판)";"액션"
393;"도살자 부족 네메시스 확장팩 (한국어판)";"액션"
394;"갈라드리엘의 검 이야기 확장팩 (한국어판)";"액션"
395;"모르도르의 황무지 이야기 확장팩 (한국어판)";"액션"
396;"Capcom Arcade 2nd Stadium: 1943 Kai - Midway Kaisen - (한국어판)";"아케이드"
397;"Capcom Arcade 2nd Stadium: A.K.A BLOCK BLOCK (한국어판)";"아케이드"
